model,language,documents,log_bin,period_center,fourier_bins,mean_relative_density,se_relative_density
llama31,en,48313,0,2.079738366502104,157,0.9990954839013149,0.000344344546943291
llama31,en,48313,1,2.251755740869529,144,0.9989063462816247,0.00034469743222243854
llama31,en,48313,2,2.4380159059456386,134,1.0003920876576606,0.00033771553425077273
llama31,en,48313,3,2.6398663190468756,123,1.0021662896195846,0.00032760038770684107
llama31,en,48313,4,2.858095516768718,114,1.0027956477792428,0.0003413309334108078
llama31,en,48313,5,3.0944667104130863,105,1.0031984219837726,0.0004629143444111914
llama31,en,48313,6,3.3500197264183567,97,0.9986110158272603,0.0003458296697234074
llama31,en,48313,7,3.627343166455213,90,0.9951972153877316,0.00034734015315934097
llama31,en,48313,8,3.92626195301624,82,0.9897428906498625,0.00036342431581253893
llama31,en,48313,9,4.250092689272306,77,0.9861355093385936,0.0003560189201445639
llama31,en,48313,10,4.603468074230814,71,0.9833112764725851,0.00037486599585581805
llama31,en,48313,11,4.984267095470073,65,0.9825401216656716,0.0006675167692393452
llama31,en,48313,12,5.394424560964031,60,0.983770791005129,0.00045508813705671654
llama31,en,48313,13,5.840467452356643,56,0.9810275716308879,0.00041887877087285635
llama31,en,48313,14,6.322619408629094,51,0.9783686316298967,0.00043464213890534264
llama31,en,48313,15,6.845610607228076,48,0.9804865836781381,0.0005182222694464255
llama31,en,48313,16,7.415533941273617,44,0.9883043525911228,0.0006041902549089024
llama31,en,48313,17,8.025558781654992,40,1.0009669737590152,0.0005096710571343229
llama31,en,48313,18,8.68951954267665,38,1.0033517015789561,0.0006423657725717908
llama31,en,48313,19,9.407669204741923,34,0.9923137297850055,0.0007214557158632685
llama31,en,48313,20,10.179076618235907,32,0.9818810199329981,0.0006302599752652671
llama31,en,48313,21,11.028566357572464,30,0.9757395676779913,0.0006628445758500734
llama31,en,48313,22,11.94477170193431,27,0.9713842560494389,0.0007125105724957223
llama31,en,48313,23,12.924480781696696,25,0.9691297169308168,0.0007843407362548234
llama31,en,48313,24,13.983106740258739,23,0.9794014198502548,0.0009104121002561042
llama31,en,48313,25,15.146496450348943,22,1.0142429223555065,0.0011716301425267893
llama31,en,48313,26,16.421220753444423,20,1.046662185420056,0.0008268940558237834
llama31,en,48313,27,17.774568996970093,18,1.017669678742954,0.0009485992066534189
llama31,en,48313,28,19.235136338697405,17,0.971121831255501,0.000772982524681002
llama31,en,48313,29,20.796881250446052,15,0.945087976578057,0.0008526103096082248
llama31,en,48313,30,22.511839961743885,15,0.9318290948967355,0.0008174756145486725
llama31,en,48313,31,24.38700267466527,13,0.9245297339440615,0.0008620437097163361
llama31,en,48313,32,26.43351109040132,13,0.9236718047084301,0.0013502414743316801
llama31,en,48313,33,28.650364158817133,11,0.9207093709119203,0.0015719301370315671
llama31,en,48313,34,30.920474771901404,10,0.9168089696502159,0.0010372894162614054
llama31,en,48313,35,33.44593172081344,10,0.9176563816131074,0.001031789393647588
llama31,en,48313,36,36.25725566717276,9,0.921668066276585,0.0011579995514620289
llama31,en,48313,37,39.205599316416965,8,0.924249687740604,0.0010837856723091455
llama31,en,48313,38,42.45756834172835,8,0.9278131509348722,0.0011097702063863348
llama31,en,48313,39,46.03409888580932,7,0.9324911585356271,0.0012086266958655932
llama31,en,48313,40,49.96608705487118,7,0.9417245440544524,0.0012426763695849504
llama31,en,48313,41,54.265543124911304,6,0.9483294093819605,0.0013517667966675407
llama31,en,48313,42,58.526232769908994,5,0.9567821539771548,0.0014562865727569783
llama31,en,48313,43,63.03030727083153,5,0.9632477500202629,0.0014585786475086655
llama31,en,48313,44,68.28564122718676,5,0.9721851616937515,0.001491073042413518
llama31,en,48313,45,73.81678310713458,4,0.9821526725636761,0.0016447823504516
llama31,en,48313,46,80.34462965429582,5,0.996714455973753,0.0015663408408066414
llama31,en,48313,47,87.1620907268156,3,1.0059065855120242,0.001875088859468309
llama31,en,48313,48,94.19204238801649,4,1.0240854830826776,0.001774257238125992
llama31,en,48313,49,102.42134222654549,3,1.0389945703852654,0.0020167941673424365
llama31,en,48313,50,110.72967047543887,3,1.058632341928543,0.0020651983870599785
llama31,en,48313,51,120.50534605263967,3,1.0732043069771227,0.0021663016527238856
llama31,en,48313,52,130.04813004819508,2,1.091679939561644,0.002556729091670605
llama31,en,48313,53,138.86740554154198,2,1.1078139085548122,0.0026244730856005154
llama31,en,48313,54,151.77313332607557,3,1.1331484865095685,0.002428173119095306
llama31,en,48313,55,167.21849977399827,2,1.1594171333759626,0.002819948654032594
llama31,en,48313,56,178.0869565217391,1,1.1842113644808359,0.0037989821978444216
llama31,en,48313,57,190.5631662896068,2,1.1974488285825962,0.0030165716988187993
llama31,en,48313,58,210.12036650703962,2,1.2295009872747773,0.0031440146454789074
llama31,en,48313,59,227.5555555555556,1,1.2555675516416112,0.0041402238674438825
llama31,en,48313,60,240.9411764705883,1,1.2824703897963818,0.004294212644873104
llama31,en,48313,61,264.39566310109325,2,1.327211864003902,0.003819102054411703
llama31,en,48313,62,292.57142857142867,1,1.3736210691074193,0.004986521433089165
llama31,en,48313,63,315.076923076923,1,1.401178135067091,0.005358615906146816
llama31,en,48313,64,341.33333333333337,1,1.4499508651257773,0.005427202737046951
llama31,en,48313,65,372.3636363636366,1,1.4848396778830473,0.00565325202909479
llama31,en,48313,66,409.6000000000002,1,1.5588549825159064,0.006369593386676842
llama31,en,48313,67,455.1111111111112,1,1.6241931577266107,0.006824131330370013
llama31,en,48313,68,512.0,1,1.7020095842895981,0.007223243060297831
llama31,en,48313,69,585.1428571428573,1,1.8123853787928403,0.008165681477692144
llama31,en,48313,70,682.6666666666667,1,1.9401758185279605,0.009262996119908756
llama31,en,48313,71,819.2000000000004,1,2.124449729426849,0.010692663896775026
llama31,en,48313,72,1024.0,1,2.37757633566618,0.012007124403327806
llama31,en,48313,73,1365.3333333333335,1,2.817278432318633,0.016382798686734232
llama31,en,48313,74,2048.0,1,3.591407954957057,0.02417516541467218
llama31,en,48313,75,4096.0,1,5.8799835770184075,0.051293155235640944
llama31,fr,3195,0,2.079738366502104,157,0.979558343653828,0.0010752453073348768
llama31,fr,3195,1,2.251755740869529,144,0.9859244847885494,0.0010971614072783256
llama31,fr,3195,2,2.4380159059456386,134,0.9985626625643591,0.0011303991924231102
llama31,fr,3195,3,2.6398663190468756,123,1.0148528387774327,0.0011483215056776513
llama31,fr,3195,4,2.858095516768718,114,1.0378246962935076,0.0012205187839673319
llama31,fr,3195,5,3.0944667104130863,105,1.0609922775042264,0.0013189800938481944
llama31,fr,3195,6,3.3500197264183567,97,1.0851485661338676,0.0013809373522270382
llama31,fr,3195,7,3.627343166455213,90,1.1011106723406634,0.0014923024910906716
llama31,fr,3195,8,3.92626195301624,82,1.1037336745344613,0.0015356681477379133
llama31,fr,3195,9,4.250092689272306,77,1.0944877416452596,0.0015280467087920352
llama31,fr,3195,10,4.603468074230814,71,1.068572586952595,0.0014409290056514971
llama31,fr,3195,11,4.984267095470073,65,1.0421174940370659,0.0014847031178002225
llama31,fr,3195,12,5.394424560964031,60,1.006865409289229,0.0014370419844468448
llama31,fr,3195,13,5.840467452356643,56,0.9782030506329198,0.0014285132142595942
llama31,fr,3195,14,6.322619408629094,51,0.9522545814943594,0.0014903267647857624
llama31,fr,3195,15,6.845610607228076,48,0.9348896527460896,0.0015244546143441937
llama31,fr,3195,16,7.415533941273617,44,0.9279569965125121,0.0016061656228536498
llama31,fr,3195,17,8.025558781654992,40,0.9160742079201961,0.0016828522549557259
llama31,fr,3195,18,8.68951954267665,38,0.9104378918787583,0.00174033456603363
llama31,fr,3195,19,9.407669204741923,34,0.9048788484532725,0.0018747650807338279
llama31,fr,3195,20,10.179076618235907,32,0.9094152313567112,0.002218615060572201
llama31,fr,3195,21,11.028566357572464,30,0.9130486996705187,0.0025204973265491168
llama31,fr,3195,22,11.94477170193431,27,0.9018702840741429,0.0023130136597032977
llama31,fr,3195,23,12.924480781696696,25,0.8906071131887479,0.002294126979216526
llama31,fr,3195,24,13.983106740258739,23,0.8942745286412236,0.002403537900397027
llama31,fr,3195,25,15.146496450348943,22,0.8941377860754182,0.002590509706871417
llama31,fr,3195,26,16.421220753444423,20,0.89067045303711,0.002717038721760129
llama31,fr,3195,27,17.774568996970093,18,0.89119808160379,0.002720751346395145
llama31,fr,3195,28,19.235136338697405,17,0.9040704725350904,0.00291191530670312
llama31,fr,3195,29,20.796881250446052,15,0.9240864789080444,0.0031009389170408262
llama31,fr,3195,30,22.511839961743885,15,0.9201743669793487,0.0030452939514733733
llama31,fr,3195,31,24.38700267466527,13,0.8949213485778607,0.0031775531781220562
llama31,fr,3195,32,26.43351109040132,13,0.8859108611203563,0.0033593327755436393
llama31,fr,3195,33,28.650364158817133,11,0.884348496234418,0.0036643223737969047
llama31,fr,3195,34,30.920474771901404,10,0.8863826287912333,0.004174173497777427
llama31,fr,3195,35,33.44593172081344,10,0.8812793540388232,0.003947788247843482
llama31,fr,3195,36,36.25725566717276,9,0.8876658322662089,0.004176094188650209
llama31,fr,3195,37,39.205599316416965,8,0.8889059238876844,0.004286049528782638
llama31,fr,3195,38,42.45756834172835,8,0.8886184362378566,0.004382595112165864
llama31,fr,3195,39,46.03409888580932,7,0.8839545901234943,0.004762944032322038
llama31,fr,3195,40,49.96608705487118,7,0.8904972460548549,0.004279536326709186
llama31,fr,3195,41,54.265543124911304,6,0.8997091564458151,0.004582391995347175
llama31,fr,3195,42,58.526232769908994,5,0.8958863322460955,0.004987084952730755
llama31,fr,3195,43,63.03030727083153,5,0.9059611670013626,0.005094024028040978
llama31,fr,3195,44,68.28564122718676,5,0.9122727975774847,0.005027570385510794
llama31,fr,3195,45,73.81678310713458,4,0.9262691957721032,0.005836147407567538
llama31,fr,3195,46,80.34462965429582,5,0.9409834247599136,0.0054246246920893314
llama31,fr,3195,47,87.1620907268156,3,0.9461513660779023,0.00703146967055991
llama31,fr,3195,48,94.19204238801649,4,0.9424486094374884,0.0060821502522745655
llama31,fr,3195,49,102.42134222654549,3,0.9703155693625638,0.00703699847286856
llama31,fr,3195,50,110.72967047543887,3,0.9701091185809021,0.006776100548320592
llama31,fr,3195,51,120.50534605263967,3,0.9868241881297305,0.008149614331118639
llama31,fr,3195,52,130.04813004819508,2,0.9925290113707695,0.008941576523978003
llama31,fr,3195,53,138.86740554154198,2,1.0073679224052925,0.00875532260065556
llama31,fr,3195,54,151.77313332607557,3,1.0158570951223092,0.012532227808837905
llama31,fr,3195,55,167.21849977399827,2,1.0352212109857633,0.009882567252445011
llama31,fr,3195,56,178.0869565217391,1,1.0288614911890321,0.011525202927585283
llama31,fr,3195,57,190.5631662896068,2,1.0677671016243653,0.010603740919191343
llama31,fr,3195,58,210.12036650703962,2,1.083064584731671,0.010261750062442185
llama31,fr,3195,59,227.5555555555556,1,1.0806892665848356,0.01244962435856438
llama31,fr,3195,60,240.9411764705883,1,1.1115497799420446,0.013637936365359342
llama31,fr,3195,61,264.39566310109325,2,1.1289921516097408,0.010829804500757746
llama31,fr,3195,62,292.57142857142867,1,1.16443815505439,0.014157261346373658
llama31,fr,3195,63,315.076923076923,1,1.1968211393380255,0.014785978440480121
llama31,fr,3195,64,341.33333333333337,1,1.1955411832724891,0.015446428087112938
llama31,fr,3195,65,372.3636363636366,1,1.2455317456924984,0.015564489402577205
llama31,fr,3195,66,409.6000000000002,1,1.247585009368596,0.015860567052072963
llama31,fr,3195,67,455.1111111111112,1,1.3043782010242295,0.017855647051970392
llama31,fr,3195,68,512.0,1,1.3272265466281434,0.01775121096382256
llama31,fr,3195,69,585.1428571428573,1,1.424717737989627,0.02004005956675867
llama31,fr,3195,70,682.6666666666667,1,1.51536376399854,0.03322040442373957
llama31,fr,3195,71,819.2000000000004,1,1.5769229018600393,0.035913261491681864
llama31,fr,3195,72,1024.0,1,1.7005725564863956,0.03128200245105277
llama31,fr,3195,73,1365.3333333333335,1,1.9127317697768755,0.0419266022782842
llama31,fr,3195,74,2048.0,1,2.310507031520993,0.04131143702200533
llama31,fr,3195,75,4096.0,1,3.4605389962428865,0.08407871042959052
llama31,de,1777,0,2.079738366502104,157,0.9136505027490394,0.0013224064678730803
llama31,de,1777,1,2.251755740869529,144,0.9183900418848059,0.0013623379206527772
llama31,de,1777,2,2.4380159059456386,134,0.924798964565402,0.0013604575933371219
llama31,de,1777,3,2.6398663190468756,123,0.9361890841744142,0.0014500007954491205
llama31,de,1777,4,2.858095516768718,114,0.9546417104166726,0.0015014527203122835
